17.3203 -63.1275 | -1.29567 -0.0937185 | -2654.66 -6730.63
17.7693 -63.343 | -1.49665 -0.560286 | 5102.46 -1938.06
18.2193 -63.5629 | -3.01414 -2.05679 | -4818.01 6823.2
18.6709 -63.7644 | -2.40353 0.235244 | -12735.8 9415.16
19.1206 -63.9416 | -3.26679 -4.16563 | 16428.1 -11244.5


-18.4312 87.5774 | -2.22906 3.3422 | -1599.46 6483.01
-17.9815 87.8008 | 0.965933 4.59305 | 9482.24 -6735.96
-17.5302 88.0286 | 1.81992 1.61591 | -6584.39 5431.77
-17.087 88.2693 | -1.07907 2.20904 | 9082.74 -8036.47
-16.6395 88.5077 | -2.3268 1.94471 | -5097.42 8005.08
-16.2028 88.7648 | -0.845917 -0.0813683 | -5378.49 2080.37
-15.7726 89.0301 | -2.41786 1.60693 | 15354.8 -2912.14
-15.3275 89.2824 | -3.58125 -1.27456 | -11919.4 -6550.27
-14.8853 89.5233 | -1.01675 -2.12127 | -1301.56 3345.85
-14.4444 89.7647 | -0.78922 3.30214 | 1176.77 -101.283
-14.0015 90.003 | -1.05901 3.33584 | -1325.68 -4817.45
-13.5565 90.2357 | -1.0051 1.34508 | 9684.99 11893.6
-13.107 90.4781 | -0.939826 4.65659 | -6030.96 -3212.05
-12.6592 90.7143 | -0.186498 1.43239 | -8937.9 -7782.16
-12.2114 90.9334 | 0.401488 -1.73621 | 4130.73 7870.58
-11.754 91.1413 | 1.42493 0.439212 | 3120.51 1397.13
-11.2807 91.3183 | 0.678091 1.5467 | 4765.67 -7963.54
-10.7892 91.4425 | -0.693003 2.99881 | -3639.74 -3298.32
-10.2909 91.5236 | -0.880188 4.98302 | 396.558 11405.5
-9.78839 91.5824 | -0.453971 2.62574 | 2861.46 -5823.06
-9.28183 91.5941 | -1.01733 1.90324 | -7312.76 -5100.17
-8.78186 91.5561 | -1.18914 -1.11818 | -2845.93 5007.98
-8.28983 91.4867 | -0.0705481 3.15606 | -12217.4 5073.19
-7.81214 91.387 | 0.191918 3.31263 | 3383.26 -6525.46
-7.34171 91.2464 | -0.0548926 -0.178592 | 12235.6 3786.3
-6.87192 91.0801 | 2.769 0.563525 | -2650.02 2444.43
-6.41602 90.8811 | 1.54085 0.295622 | 581.918 -10353.4
-5.98067 90.6357 | -0.211303 -2.99594 | -6412.49 7684.2
-5.56523 90.3686 | 1.15734 -1.56273 | -500.529 2537.94
-5.16125 90.0863 | 2.14855 0.313112 | 10110.5 -4061.15
-4.76052 89.7876 | 1.96867 1.30077 | 105.218 357.253
-4.3722 89.4717 | 0.653583 3.49217 | -4942.78 -4902.52
-4.00317 89.1351 | -0.109336 2.38091 | -6821.15 4262.38
-3.64326 88.7964 | 1.64015 1.2862 | 4304.7 1157.5
-3.26998 88.4714 | 1.00553 -0.00133676 | 4164.79 1878.27
-2.87678 88.1688 | -0.0836924 -1.67463 | -2067.11 4273.04
-2.47137 87.8866 | 0.811858 1.41402 | -3644.45 -9593.84
-2.06059 87.6092 | 0.604465 1.89039 | 5525.64 4234.98
-1.632 87.3563 | 0.227748 -0.823762 | 1778.03 2053.84
-1.18965 87.1252 | 0.886862 -2.4025 | 714.308 -7995.25
-0.739726 86.9021 | 1.46602 -2.34077 | 22.2633 -1866.39
-0.279848 86.6983 | 0.699449 -1.04155 | 833.144 7220.16
0.193182 86.5324 | -0.993971 -0.0186086 | -8288.36 -5039.42
0.672266 86.3962 | -3.124 0.208646 | 13783.2 2414.36
