-74.6612 -33.999 | 3.76338 -3.18778 | 5162.19 -9041.7
-74.2474 -34.2856 | 5.31431 -2.96704 | -3744.32 9393.18
-73.8206 -34.5409 | 3.28025 -4.66932 | -13442 4972.29
-73.3875 -34.7679 | 1.67601 -4.54898 | 18180.1 -8655.06
-72.9303 -34.9742 | 0.510384 -0.129675 | 2547.6 638.069
-72.4596 -35.1554 | -1.89137 -3.37142 | -10018.3 -5433.57
-71.9864 -35.3147 | 0.231716 -3.15926 | 2090.33 7526.32
-71.5019 -35.427 | 0.247932 -2.26384 | -9030.46 3920.06
-71.0148 -35.4962 | 2.07913 1.25879 | 10774.5 -12360.4
-70.5183 -35.5399 | 2.71618 -2.17421 | -7797.73 14866.9
-70.0238 -35.5314 | 3.91696 3.04459 | 4738.79 -21082.8
-69.526 -35.5048 | 1.2189 0.975221 | 19691.9 16039.4
-69.0245 -35.4098 | 1.8824 0.78816 | -25378.5 4748.36
-68.5534 -35.2553 | 4.42374 -1.5125 | -7334.37 -16100.2
-68.0984 -35.0835 | 1.78424 -3.62056 | 10315.3 1573.82
-67.6489 -34.885 | -4.06135 -1.3906 | -2595.05 6374.17
-67.2161 -34.6513 | -4.93144 3.10994 | -3473.6 -6597.99
-66.7972 -34.4019 | -4.91287 1.48117 | -3039.23 -3920.01
-66.389 -34.1401 | -4.22835 1.02714 | 12168.4 1732.12
-65.9827 -33.8596 | -1.08286 -2.44994 | 3687.78 17056.6
-65.5898 -33.5439 | -3.62727 -2.58847 | 6218.31 -5105.72
-65.2017 -33.2197 | 2.84638 0.681198 | -8873.16 -3367.77
-64.8287 -32.8891 | 3.35112 0.193892 | -12710.9 -9770.86
-64.4681 -32.5595 | 3.19842 0.633599 | 14818.7 13757
-64.0953 -32.2259 | 1.5633 7.42515 | -1328.99 -3695.25
-63.71 -31.9064 | 4.53158 1.65753 | -295.958 4830.53
-63.3071 -31.6046 | 0.736412 -0.191484 | 19294.4 -5377.09
-62.8715 -31.337 | -1.24998 -0.148595 | -13587.6 -4937.8
-62.4387 -31.0826 | 0.54738 0.709612 | -9873.95 1771.7
-62.0188 -30.8179 | 0.305663 4.34132 | 5502.53 8712.67
-61.6006 -30.5378 | -2.33106 3.52238 | 11460.9 6661.01
-61.1717 -30.2573 | -3.26077 3.99522 | -9047.87 -5533.26
-60.7371 -29.9985 | -0.992664 1.70243 | -2943.36 -9303.53
-60.29 -29.776 | -0.827813 1.24444 | -3205.66 -2457.1
-59.8348 -29.5805 | -1.26364 2.13124 | -5423.36 6978.15
-59.3763 -29.3976 | -0.781951 2.20307 | 4510.16 -1838.76
